PLAYER,TEAM,POS,POSF,GP,G,A,PTS,+/-,SHP,PIM,HITS,BLOCKS,SOG,SEASON,FP,FP/GP
Pius Suter,DET,C,C,79,14,10,24,-3,2,6,39,37,106,20222023,101.2,1.281
Jonathan Marchessault,VGK,W,W,76,28,29,57,2,0,21,76,17,234,20222023,209.7,2.7592
Owen Power,BUF,D,D,79,4,31,35,10,1,24,27,86,130,20222023,134.2,1.6987
Cam York,PHI,D,D,54,2,18,20,-1,1,18,44,69,42,20222023,79.6,1.4741
Cody Ceci,EDM,D,D,80,1,14,15,11,0,24,139,110,88,20222023,112.7,1.4088
Chad Ruhwedel,PIT,D,D,47,1,4,5,-4,0,18,90,51,36,20222023,50.3,1.0702
Andrei Svechnikov,CAR,W,W,64,23,32,55,6,0,71,140,17,205,20222023,208.9,3.2641
Vincent Desharnais,EDM,D,D,36,0,5,5,15,1,31,45,48,17,20222023,41.3,1.1472
Jordan Spence,LAK,D,D,6,0,1,1,1,0,0,3,3,6,20222023,5,0.8333
Cale Makar,COL,D,D,60,17,49,66,16,0,30,65,78,176,20222023,225.4,3.7567
Brent Burns,CAR,D,D,82,18,43,61,19,0,44,40,86,255,20222023,230.5,2.811
Victor Hedman,TBL,D,D,76,9,40,49,10,3,42,95,136,185,20222023,206.8,2.7211
Urho Vaakanainen,ANA,D,D,23,0,2,2,-16,0,0,18,28,27,20222023,16.6,0.7217
Filip Chytil,NYR,C,C,74,22,23,45,15,0,30,36,38,177,20222023,170.5,2.3041
Zach Aston-Reese,TOR,C,C,77,10,4,14,-6,0,25,163,43,89,20222023,99.5,1.2922
Erik Haula,NJD,W,W,80,14,27,41,13,3,47,92,54,164,20222023,167.3,2.0912
Nic Dowd,WAS,C,C,65,13,12,25,6,1,26,136,61,62,20222023,122.7,1.8877
Andreas Athanasiou,CHI,C,C,81,20,20,40,-29,0,34,43,44,175,20222023,148.1,1.8284
Jeff Petry,PIT,D,D,61,5,26,31,2,0,24,190,111,113,20222023,161.5,2.6475
Brandon Montour,FLA,D,D,80,16,57,73,9,0,107,92,93,242,20222023,259.4,3.2425
Nathan Beaulieu,ANA,D,D,52,0,4,4,-23,0,39,49,80,33,20222023,41.5,0.7981
Mika Zibanejad,NYR,C,C,82,39,52,91,25,2,20,71,48,251,20222023,307.3,3.7476
Darnell Nurse,EDM,D,D,82,12,31,43,26,3,64,146,164,203,20222023,224.8,2.7415
Dillon Dube,CGY,C,CW,82,18,27,45,-6,2,47,136,21,151,20222023,169.9,2.072
Anthony Beauvillier,NYI/VAN,W,W,82,18,22,40,-10,0,24,78,30,176,20222023,154.8,1.8878
